date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2024-03-19,KXHIGHCHI,52.2,53.2,54.2,55.4,44.6,55.3
2024-03-20,KXHIGHCHI,45.8,38.2,43.9,46.6,40.5,37.3
2024-03-21,KXHIGHCHI,36.7,35.7,38.6,37.1,30.3,35.4
2024-03-22,KXHIGHCHI,38.0,36.3,37.1,36.7,32.5,34.7
2024-03-23,KXHIGHCHI,34.7,33.5,35.3,36.3,29.9,35.4
2024-03-24,KXHIGHCHI,45.2,41.2,43.2,43.1,38.5,42.9
2024-03-25,KXHIGHCHI,59.9,55.0,60.0,64.1,49.1,62.2
2024-03-26,KXHIGHCHI,52.5,52.0,54.8,55.4,45.8,52.3
2024-03-27,KXHIGHCHI,41.9,41.4,41.2,41.6,37.4,41.1
2024-03-28,KXHIGHCHI,48.8,48.2,50.5,50.1,42.1,49.8
2024-03-29,KXHIGHCHI,45.2,43.5,47.9,44.7,39.2,45.6
2024-03-30,KXHIGHCHI,54.3,56.2,57.8,57.8,41.1,56.8
2024-03-31,KXHIGHCHI,44.3,43.4,44.6,43.8,35.7,44.7
2024-04-01,KXHIGHCHI,45.3,42.9,45.3,45.4,38.6,43.0
2024-04-02,KXHIGHCHI,56.3,49.2,53.4,54.7,40.0,53.1
2024-04-03,KXHIGHCHI,35.6,35.6,37.8,37.3,36.1,36.0
2024-04-04,KXHIGHCHI,38.3,40.1,40.1,39.4,36.9,39.5
2024-04-05,KXHIGHCHI,43.5,44.1,45.3,44.9,37.0,43.9
2024-04-06,KXHIGHCHI,46.1,46.0,48.5,46.3,36.8,45.4
2024-04-07,KXHIGHCHI,49.5,48.4,50.0,48.3,44.5,45.9
2024-04-08,KXHIGHCHI,68.9,66.9,71.7,69.4,59.6,71.1
2024-04-09,KXHIGHCHI,61.7,59.9,63.8,64.3,54.0,64.2
2024-04-10,KXHIGHCHI,60.1,60.3,64.1,60.7,48.8,60.4
2024-04-11,KXHIGHCHI,50.7,50.2,53.6,49.6,42.7,52.5
2024-04-12,KXHIGHCHI,59.9,58.8,61.8,62.3,50.0,61.2
